participant_id,condition,age_group,gender,education,party_affiliation,policy_support,pct_opinion,article_convincing,article_shaped_opinion
P0141,economic,35-44,Male,High school or less,Republican,Strongly in opposition,15% is not high enough,Neither convincing nor unconvincing,No
P0219,moral,18-24,Male,Bachelor's degree,Republican,Somewhat in opposition,15% is not high enough,Somewhat unconvincing,No
P0076,control,18-24,Female,Some college,Republican,Neutral,15% is too high,Strongly convincing,No
P0124,economic,25-34,Non-binary/Other,Graduate degree,Democrat,Somewhat in favor,15% is not high enough,Strongly convincing,No
P0096,economic,55-64,Female,Bachelor's degree,Republican,Somewhat in opposition,15% is about the correct amount,Neither convincing nor unconvincing,No
P0263,moral,18-24,Male,High school or less,Democrat,Strongly in opposition,15% is not high enough,Neither convincing nor unconvincing,No
P0164,economic,25-34,Male,Some college,Democrat,Strongly in favor,15% is about the correct amount,Strongly convincing,No
P0099,economic,25-34,Female,Graduate degree,Independent,Neutral,15% is about the correct amount,Somewhat convincing,Yes
P0184,moral,25-34,Female,Some college,Democrat,Neutral,15% is too high,Neither convincing nor unconvincing,No
P0052,control,18-24,Male,Bachelor's degree,Republican,Neutral,15% is about the correct amount,Strongly convincing,No
P0025,control,55-64,Female,Some college,Democrat,Somewhat in favor,15% is about the correct amount,Somewhat convincing,No
P0258,moral,45-54,Female,High school or less,Republican,Somewhat in opposition,15% is about the correct amount,Somewhat convincing,Maybe
P0216,moral,35-44,Male,Bachelor's degree,Independent,Neutral,15% is about the correct amount,Somewhat unconvincing,Maybe
P0111,economic,35-44,Female,Graduate degree,Independent,Somewhat in opposition,15% is too high,Somewhat unconvincing,No
P0260,moral,45-54,Non-binary/Other,Bachelor's degree,Republican,Strongly in opposition,15% is too high,Somewhat convincing,No
P0226,moral,18-24,Male,Some college,Independent,Strongly in favor,15% is about the correct amount,Somewhat unconvincing,No
P0128,economic,18-24,Female,Some college,Democrat,Somewhat in favor,15% is too high,Somewhat convincing,Yes
P0028,control,18-24,Male,Bachelor's degree,Republican,Somewhat in opposition,15% is about the correct amount,Strongly convincing,Maybe
P0065,control,25-34,Female,Bachelor's degree,Independent,Strongly in opposition,15% is about the correct amount,Somewhat convincing,Maybe
P0068,control,25-34,Male,Some college,Independent,Somewhat in favor,15% is too high,Somewhat unconvincing,No
P0169,economic,18-24,Male,Bachelor's degree,Republican,Strongly in favor,15% is about the correct amount,Somewhat unconvincing,Yes
